ID,Questions,Responses
1,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
2,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
3,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
4,Are your data scientists using Git?,
5,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
6,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
7,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
8,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
9,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
10,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
11,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
12,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
13,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
14,Are your data scientists using Git?,"No, we are not using Git for data science"
15,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
16,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
17,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
18,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
19,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
20,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
21,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
22,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
23,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
24,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
25,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
26,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
27,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
28,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
29,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
30,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
31,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
32,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
33,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
34,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
35,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
36,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
37,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
38,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
39,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
40,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
41,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
42,Are your data scientists using Git?,"No, we are not using Git for data science"
43,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
44,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
45,Are your data scientists using Git?,
46,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
47,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
48,Are your data scientists using Git?,"No, we are not using Git for data science"
49,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
50,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
51,Are your data scientists using Git?,it's team by team within the company
52,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
53,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
54,Are your data scientists using Git?,"No, we are not using Git for data science"
55,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
56,Are your data scientists using Git?,"Yes, but our team does not commit frequently"
57,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
58,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
59,Are your data scientists using Git?,
60,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
61,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
62,Are your data scientists using Git?,"Some are very comfortable with git, others do not use it at all"
63,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
64,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
65,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
66,Are your data scientists using Git?,"No, we are not using Git for data science"
67,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
68,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
69,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
70,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
71,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
72,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
73,Are your data scientists using Git?,"No, we are not using Git for data science"
74,Are your data scientists using Git?,"No, we are not using Git for data science"
75,Are your data scientists using Git?,"No, we are not using Git for data science"
76,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
77,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
78,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
79,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
80,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
81,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
82,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
83,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
84,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
85,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
86,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
87,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
88,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
89,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
90,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
91,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
92,Are your data scientists using Git?,"No, we are not using Git for data science"
93,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
94,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
95,Are your data scientists using Git?,
96,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
97,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
98,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
99,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
100,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
101,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
102,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
103,Are your data scientists using Git?,"No, we are not using Git for data science"
104,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
105,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
106,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
107,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
108,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
109,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
110,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
111,Are your data scientists using Git?,"No, we are not using Git for data science"
112,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
113,Are your data scientists using Git?,"No, we are not using Git for data science"
114,Are your data scientists using Git?,"Some are, some are not. "
115,Are your data scientists using Git?,"No, we are not using Git for data science"
116,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
117,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
118,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
119,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
120,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
121,Are your data scientists using Git?,
122,Are your data scientists using Git?,
123,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
124,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
125,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
126,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
127,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
128,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
129,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
130,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
131,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
132,Are your data scientists using Git?,"No, we are not using Git for data science"
133,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
134,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
135,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
136,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
137,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
138,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
139,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
140,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
141,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
142,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
143,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
144,Are your data scientists using Git?,"Yes, but our data scientists aren't that comfortable using Git"
145,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
146,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
147,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
148,Are your data scientists using Git?,"Yes, our data scientists are proficient with Git"
149,Are your data scientists using Git?,"No, we are not using Git for data science"
