ID,Are you running on-premises or on a Cloud Provider? (Check all that apply),How much of your data analytics and machine learning development is done using Python & PyData stack? ,The Data Science team is currently using tools that they're not totally comfortable with?,How do you deploy your data analyses and ML models? (Check all that apply),Where is your data stored? (Check all that apply),Who deploys your data analyses and ML models today?(Check all that apply),"Rate your current pipeline or workflow from data acquisition to development to deployment today (1 - simple, 10 - very complex)",Would you like to add automation to your pipeline?,Do analysts and data scientists work alone or collaborate?,Is there a desire to collaborate more?,Are your data scientists using Git?,"Is reproducing older results a requirement, for compliance or other reasons?",Do you use the following:,"On a scale of 0 to 10, 10 being highly likely and 0 being not at all likely, how likely are you to recommend Spark to a friend or colleague?",Which best describes your attitude toward cloud compute costs?,Are you currently purchasing software or other services through any of the following marketplaces:
1,AWS,We use Python more than other programming languages,Disagree,Batch jobs,"Flat files, Relational database",Data Scentists exclusively,8,Maybe,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Maybe,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,,
2,"Azure, On-premises",We use Python more than other programming languages,Disagree,"Dashboards, Batch jobs","Relational database, Data Warehouse",IT/DevOps exclusively,5,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",No,Dask,8,We are not very concerned with compute costs,No I do not purchase through the cloud marketplaces
3,AWS,We use Python more than other programming languages,Disagree,REST APIs,Flat files,Data Scentists exclusively,6,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",No,"I've heard of Dask but I don't use it, I've heard of RAPIDS but I don't use it",N/A - I'm not familiar with Spark,We are strongly concerned with compute costs,No I do not purchase through the cloud marketplaces
4,Other,We use Python more than other programming languages,Neutral,Dashboards,,,5,Maybe,Some collaboration,,,,,,,
5,On-premises,We use Python more than other programming languages,Neutral,Batch jobs,"Flat files, Relational database",Data Scentists exclusively,5,Maybe,Some collaboration,Maybe,"Yes, our data scientists are proficient with Git",Maybe,,N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
6,"Azure, On-premises",We don't plan on using Python,Agree,"Dashboards, Batch jobs","Flat files, Relational database, Data Warehouse",Data Scentists exclusively,8,Maybe,Some collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Maybe,,6,We are not very concerned with compute costs,No I do not purchase through the cloud marketplaces
7,Google Cloud,We use Python more than other programming languages,Strongly Disagree,Batch jobs,"Flat files, Relational database",A combination of IT/DevOps & Data Science,4,Yes,Work solo and / or work locally,Yes,"Yes, but our data scientists aren't that comfortable using Git",Maybe,I've heard of Dask but I don't use it,N/A - I'm not familiar with Spark,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
8,On-premises,We use Python more than other programming languages,Neutral,REST APIs,"Flat files, Relational database",IT/DevOps exclusively,8,Yes,Some collaboration,Yes,"Yes, our data scientists are proficient with Git",Maybe,,N/A - I'm not familiar with Spark,We are not at all concerned with compute costs,No I do not purchase through the cloud marketplaces
9,On-premises,We use Python but it isn't dominant or core to our approach,Disagree,"Dashboards, Batch jobs","Relational database, NoSQL database",A combination of IT/DevOps & Data Science,4,Yes,Seamless collaboration,Yes,"Yes, but our data scientists aren't that comfortable using Git",Maybe,I've heard of RAPIDS but I don't use it,5,We are somewhat concerned with compute costs,No I do not purchase through the cloud marketplaces
10,"AWS, Google Cloud, On-premises",We use Python more than other programming languages,Neutral,REST APIs,Object store,A combination of IT/DevOps & Data Science,6,Yes,We collaborate but there are pain points,Yes,"Yes, our data scientists are proficient with Git",Yes,I've heard of Dask but I don't use it,7,We are somewhat concerned with compute costs,AWS Marketplace
